Official_ID,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Elevation_m,Gravelius,Aspect_deg,Slope_deg,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Permeability_logk_m2,Porosity_frac
05AB029,49.95413,-113.6635,130.2381,1252.4,1.6668,87.0648,6.3022,0.1505,0.6289,0.01,0.001,0.0153,0.0709,0.1233,0.0,-15.1999998092651,0.189999997615814
05AB040,50.24177,-114.3512,65.3188,1728.9,1.3108,94.073,12.8709,0.7929,0.0801,0.0,0.0006,0.0079,0.1185,0.0,0.0,-15.2393937544389,0.18787878548557102
05AB046,49.75476,-113.4073,2509.8584,1262.0,1.6076,118.6022,5.7682,0.248,0.3854,0.0077,0.0104,0.0203,0.0719,0.2563,0.0,-15.262326252782199,0.18664395882762
05AC030,50.47247,-112.914,349.9885,992.3,1.5119999999999998,107.0497,1.2146,0.0001,0.0356,0.0008,0.0103,0.0356,0.0013,0.9163,0.0,-15.9624059361623,0.148947365862086
05AC034,50.20417,-112.9778,3490.0697,1034.6,1.804,105.8134,1.2383,0.0079,0.0923,0.0029,0.0233,0.0343,0.0104,0.8288,0.0,-15.1999998092651,0.189999997615814
05AC930,50.35417,-113.5431,791.6734,1026.4,1.425,163.4672,0.6497,0.0009,0.0117,0.0003,0.0405,0.0392,0.0025,0.9049,0.0,-15.1999998092651,0.189999997615814
05AD003,49.113659999999996,-113.8394,612.6766,1838.1,1.6875,287.0749,22.5613,0.5341,0.2608,0.0026,0.0382,0.0065,0.151,0.0011,0.0057,-15.231325369936199,0.10694413815766803
05AD035,49.56628,-112.9543,223.4751,1046.3,1.4726,74.5994,1.1736,0.0006,0.1446,0.0013,0.0042,0.0193,0.0006,0.8295,0.0,-15.2460175151319,0.18752212149907
05AD042,49.23194,-113.9608,47.9077,1915.5,1.3821,56.4216,23.7168,0.3424,0.5358,0.0,0.0,0.0137,0.0732,0.035,0.0,-16.292753592781402,0.131159417655157
05AD934,49.7287,-113.1247,3584.4565,1382.8,1.7799,61.3698,8.0552,0.2013,0.2598,0.0158,0.0201,0.0207,0.0675,0.4126,0.0022,-15.3595945412184,0.16053365328612
05AE005,49.125009999999996,-113.1426,222.3957,1314.4,1.6715,352.9888,2.8533,0.0087,0.498,0.0118,0.0162,0.0144,0.1292,0.3217,0.0,-15.158841275587301,0.19121951001082999
